"StichtagDatJahr","AlterV05Cd","AlterV05Lang","PLZ","AnzBestWir"
1994,5,"5- bis 9-Jährige","8008",449
1994,5,"5- bis 9-Jährige","8032",516
1994,5,"5- bis 9-Jährige","8037",580
1994,5,"5- bis 9-Jährige","8038",623
1994,5,"5- bis 9-Jährige","8041",222
1994,5,"5- bis 9-Jährige","8044",237
1994,5,"5- bis 9-Jährige","8045",515
1994,5,"5- bis 9-Jährige","8046",938
1994,5,"5- bis 9-Jährige","8047",627
1994,5,"5- bis 9-Jährige","8048",932
1994,5,"5- bis 9-Jährige","8049",716
1994,5,"5- bis 9-Jährige","8050",917
1994,5,"5- bis 9-Jährige","8051",972
